label	removal
1	2.00520589108094
2	2.72418494940622
3	2.85981342854506
4	2.27442451231127
5	1.32994497024254
6	3.38359661704511
7	1.63805625441923
8	1.72072029298966
9	1.26923018851463
10	0.990556842865057
11	1.19860499219875
12	2.79168961332981
13	1.69200319026594
14	2.60920487767350
15	2.85453332033728
16	2.4881859079884
17	2.79627143226285
18	2.78882531863959
19	3.42093301221691
20	4.71547151562468
21	5.851981934787
22	3.59547993388572
23	4.62883049718053
24	2.88194460070432
25	2.25532223120692
26	3.26450608351031
27	2.28793279293392
28	2.62725199166514
29	3.41032614260102
30	2.32176767437249
31	3.54963190272344
32	4.10757200480776
33	2.64692039004373
34	2.00308024796777
35	4.42066714857447
36	6.79718463945436
37	3.8745464806869
38	3.2364629038371
39	6.86862038845363
40	4.09581990186724
41	2.6547046736162
42	4.26439559228266
43	5.27325137161628
44	5.16934990889765
45	4.49345078165976
46	2.89417151658574
47	3.79604713810493
48	7.68959399967949
49	4.48324908329247
50	6.66511422059315
51	7.21477997830342
