YEAR,WEEK,%UNWEIGHTED ILI
2003,33,0.610118
2003,34,0.641227
2003,35,0.661429
2003,36,0.792681
2003,37,0.639059
2003,38,0.636732
2003,39,0.747829
2003,40,0.960873
2003,41,1.04325
2003,42,1.0545
2003,43,1.11231
2003,44,1.41274
2003,45,1.72703
2003,46,2.407
2003,47,3.10962
2003,48,4.30779
2003,49,4.8303
2003,50,6.42905
2003,51,6.86734
2003,52,7.06496
2003,53,4.55115
2004,1,2.41833
2004,2,1.80906
2004,3,1.71202
2004,4,1.5425
2004,5,1.43787
2004,6,1.32427
2004,7,1.30726
2004,8,1.03698
2004,9,1.01032
2004,10,1.05249
2004,11,1.02009
2004,12,0.924419
2004,13,0.790645
2004,14,0.80261
2004,15,0.83613
2004,16,0.792436
2004,17,0.683588
2004,18,0.757452
2004,19,0.788585
2004,20,0.812171
2004,21,0.804463
2004,22,0.877701
2004,23,0.741453
2004,24,0.661022
2004,25,0.715109
2004,26,0.562241
2004,27,0.786808
2004,28,0.860658
2004,29,0.689944
2004,30,0.779691
2004,31,0.628144
2004,32,0.902459
2004,33,0.806443
2004,34,0.874888
2004,35,0.993213
2004,36,0.876141
2004,37,0.948092
2004,38,0.926943
2004,39,0.971643
2004,40,0.897159
2004,41,1.02248
2004,42,1.06296
2004,43,1.14696
2004,44,1.20495
2004,45,1.30517
2004,46,1.28699
2004,47,1.59468
2004,48,1.39714
2004,49,1.44996
2004,50,1.61745
2004,51,2.19112
2004,52,2.56649
2005,1,2.17645
2005,2,2.20171
2005,3,2.53012
2005,4,3.06524
2005,5,3.98061
2005,6,4.59568
2005,7,4.75197
2005,8,4.17962
2005,9,3.45359
2005,10,3.15852
2005,11,2.6732
2005,12,2.35161
2005,13,1.89243
2005,14,1.5249
2005,15,1.41134
2005,16,1.25068
2005,17,1.20702
2005,18,1.07895
2005,19,1.14521
2005,20,1.06124
2005,21,1.0568
2005,22,1.25193
2005,23,1.01419
2005,24,1.04197
2005,25,0.954027
2005,26,0.84823
2005,27,0.841872
